Device Name,Instance Name,Updated time (America/Los_Angeles),Utilization (%)
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:18,44.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:19,41.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:20,41.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:21,43.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:22,41
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:23,62.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:24,55.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:25,57.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:26,55.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:27,55
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:28,
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:29,
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:30,59.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:31,64.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:32,66
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:33,64.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:34,62.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:35,60.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:36,63.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:37,59.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:38,56.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:39,59.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:40,58.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:41,61.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:42,61.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:43,66
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:44,64.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:45,58.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:46,64
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:47,65.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:48,62.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:49,54.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:50,54.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:51,59.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:52,44.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:53,42.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:54,35.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:55,34.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:56,46.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:57,41.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:58,39.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 16:59,34.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:00,40.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:01,58
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:02,55.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:03,52.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:04,56.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:05,53.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:06,49.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:07,50.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:08,55.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:09,48.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:10,40.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:11,41.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:12,46.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:13,57.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:14,48.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:15,41.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:16,57
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:17,54.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:18,57.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:19,48.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:20,50.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:21,57
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:22,49.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:23,53.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:24,52.9
